id,title,original_language,popularity,vote_average
16,Dancer in the Dark,English,13.371,7.9
83564,La luna,English,6.159,7.9
949,Heat,English,66.459,7.9
752,V for Vendetta,English,40.257,7.9
301,Rio Bravo,English,15.976,7.9
379170,Sherlock: The Abominable Bride,English,24.639,7.9
16390,Scooby-Doo! and the Samurai Sword,English,12.718,7.9
13398,Tokyo Godfathers,Non-English,12.468,7.9
367412,Whiplash,English,7.658,7.9
348892,Bajrangi Bhaijaan,Non-English,9.579,7.9
296096,Me Before You,English,141.412,7.9
404378,A Street Cat Named Bob,English,15.579,7.9
1394,Nostalgia,Non-English,11.362,7.9
6715,The Cure,English,11.008,7.9
10997,Farewell My Concubine,Non-English,10.943,7.9
726684,Miraculous World: Shanghai – The Legend of Ladydragon,Non-English,268.031,7.9
210577,Gone Girl,English,50.917,7.9
843241,The Seven Deadly Sins: Cursed by Light,Non-English,452.698,7.9
391,A Fistful of Dollars,Non-English,21.83,7.9
30588,Monsieur Verdoux,English,8.117,7.9
1675,Day for Night,Non-English,6.809,7.9
11293,Paper Moon,English,9.458,7.9
827,Diabolique,Non-English,9.478,7.9
86000,Always,Non-English,10.591,7.9
430424,See You Up There,Non-English,10.747,7.9
313369,La La Land,English,33.13,7.9
11830,Tampopo,Non-English,8.819,7.9
303867,World of Tomorrow,English,5.697,7.9
20873,The Diamond Arm,Non-English,6.761,7.9
381341,Perfect Strangers,Non-English,14.692,7.9
16804,Departures,Non-English,9.363,7.9
275,Fargo,English,16.833,7.9
11036,The Notebook,English,73.957,7.9
593,Solaris,Non-English,11.956,7.9
393,Kill Bill: Vol. 2,English,36.306,7.9
266856,The Theory of Everything,English,33.618,7.9
833,Umberto D.,Non-English,8.132,7.9
505192,Shoplifters,Non-English,14.373,7.9
597,Titanic,English,161.931,7.9
22596,Safety Last!,English,7.928,7.9
2440,Joint Security Area,Non-English,12.609,7.9
5511,Le Samouraï,Non-English,12.288,7.9
22843,Evangelion: 2.0 You Can (Not) Advance,Non-English,30.334,7.9
934,Rififi,Non-English,8.753,7.9
438631,Dune,English,216.157,7.9
10774,Network,English,10.745,7.9
1162,The Miracle Worker,English,6.016,7.9
235,Stand by Me,English,21.683,7.9
398924,A Bag of Marbles,Non-English,7.65,7.9
93,Anatomy of a Murder,English,13.772,7.9
23160,Werckmeister Harmonies,Non-English,9.083,7.9
399174,Isle of Dogs,English,18.433,7.9
152601,Her,English,27.412,7.9
33320,Millennium Actress,Non-English,13.83,7.9
602063,Rurouni Kenshin: The Final,Non-English,62.242,7.9
293299,Feast,English,8.069,7.9
705861,Hustle,English,966.604,7.9
579792,Cindy La Regia,Non-English,13.303,7.9
445030,No Game No Life: Zero,Non-English,50.661,7.9
5544,Hiroshima Mon Amour,Non-English,13.006,7.9
546554,Knives Out,English,55.712,7.9
352173,Drishyam,Non-English,6.715,7.9
5924,Papillon,English,17.457,7.9
677638,We Bare Bears: The Movie,English,85.597,7.9
614917,King Richard,English,88.414,7.9
11602,Through a Glass Darkly,Non-English,7.207,7.9
185789,Mulholland Dr.,English,7.148,7.9
11953,Kagemusha,Non-English,12.106,7.9
180147,We Are the Nobles,Non-English,43.243,7.9
581,Dances with Wolves,English,23.701,7.9
113833,The Normal Heart,English,8.249,7.9
24238,Mary and Max,English,12.492,7.9
14574,The Boy in the Striped Pyjamas,English,80.111,7.9
453,A Beautiful Mind,English,35.547,7.9
71157,Polisse,Non-English,7.433,7.9
980,The Ox-Bow Incident,English,10.808,7.9
47931,Elite Squad: The Enemy Within,Non-English,22.556,7.9
31011,Mr. Nobody,English,20.672,7.9
665,Ben-Hur,English,34.717,7.9
596,The Grapes of Wrath,English,11.375,7.9
899405,Anonymously Yours,Non-English,50.904,7.8
265195,Wild Tales,Non-English,21.016,7.8
1626,Vivre Sa Vie,Non-English,10.169,7.8
777,Grand Illusion,Non-English,7.248,7.8
144,Wings of Desire,Non-English,10.925,7.8
115,The Big Lebowski,English,24.165,7.8
32480,The Marquis of Grillo,Non-English,5.543,7.8
24480,Partly Cloudy,English,8.872,7.8
11049,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,Non-English,11.173,7.8
59440,Warrior,English,76.067,7.8
359156,Don't Be Bad,Non-English,6.897,7.8
152742,The Best Offer,Non-English,10.673,7.8
58129,The Phantom Carriage,Non-English,11.533,7.8
16859,Kiki's Delivery Service,Non-English,42.865,7.8
6075,Carlito's Way,English,17.871,7.8
10757,Kabhi Khushi Kabhie Gham,Non-English,16.124,7.8
50759,An Autumn Afternoon,Non-English,10.399,7.8
9479,The Nightmare Before Christmas,English,83.129,7.8
810693,Jujutsu Kaisen 0,Non-English,1444.117,7.8
503314,Dragon Ball Super: Broly,Non-English,131.817,7.8
200727,"Love, Rosie",English,64.502,7.8
1018,Mulholland Drive,English,24.039,7.8
887,The Best Years of Our Lives,English,11.9,7.8
354857,Regular Show: The Movie,English,31.338,7.8
317442,The Last: Naruto the Movie,Non-English,226.8,7.8
5000,Forbidden Games,Non-English,7.074,7.8
113,"Spring, Summer, Fall, Winter... and Spring",Non-English,11.302,7.8
609242,The Heist of the Century,Non-English,37.98,7.8
25253,Crooks in Clover,Non-English,8.719,7.8
15859,A Moment to Remember,Non-English,15.273,7.8
841755,Mortal Kombat Legends: Battle of the Realms,English,121.616,7.8
21135,L'Eclisse,Non-English,7.817,7.8
613,Downfall,Non-English,16.996,7.8
136,Freaks,English,11.787,7.8
11656,The Virgin Spring,Non-English,7.656,7.8
335578,Land of Mine,Non-English,11.764,7.8
31056,A Short Film About Love,Non-English,5.732,7.8
89,Indiana Jones and the Last Crusade,English,33.359,7.8
5991,The Last Laugh,Non-English,5.843,7.8
12,Finding Nemo,English,128.733,7.8
968,Dog Day Afternoon,English,16.178,7.8
805,Rosemary's Baby,English,23.645,7.8
585,"Monsters, Inc.",English,220.605,7.8
10775,Infernal Affairs,Non-English,12.826,7.8
5915,Into the Wild,English,15.802,7.8
826,The Bridge on the River Kwai,English,12.349,7.8
674,Harry Potter and the Goblet of Fire,English,260.25,7.8
396,Who's Afraid of Virginia Woolf?,English,7.875,7.8
446159,Bacurau,Non-English,9.3,7.8
502,Fail Safe,English,10.059,7.8
810171,The Valet,English,362.118,7.8
80,Before Sunset,English,15.163,7.8
